Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.547037	8.81017e-06	33966.4	62091.6
1/delta	0.00104806	3.23386e-11	33966.3	3.24089e+07
nu	0.0167541	5.16976e-10	542965	3.24079e+07
124-2.whole.wo.indels	3.01842e-05	9.33762e-13	975.713	3.23253e+07
131-4.whole.wo.indels	2.75885e-05	8.53414e-13	891.859	3.23272e+07
132-2.whole.wo.indels	2.72802e-06	8.32552e-14	89.389	3.2767e+07
134-1.whole.wo.indels	2.11853e-06	6.46613e-14	69.4107	3.27636e+07
14-23s.whole.wo.indels	0.000518205	1.95408e-11	13742.4	2.65191e+07
142-2.whole.wo.indels	1.82635e-06	5.57469e-14	59.8336	3.27614e+07
144-2.whole.wo.indels	2.3323e-06	7.11769e-14	76.4237	3.27676e+07
15-183s.whole.wo.indels	4.69874e-05	1.46089e-12	1511.29	3.21637e+07
15-186s.whole.wo.indels	3.14713e-06	9.60366e-14	103.132	3.27701e+07
15-19s.whole.wo.indels	2.22523e-06	6.79373e-14	72.8853	3.27541e+07
15-1s.whole.wo.indels	3.45225e-05	1.07178e-12	1111.98	3.22102e+07
15-20s.whole.wo.indels	5.52246e-05	1.73778e-12	1754.97	3.17788e+07
15-235s.whole.wo.indels	8.20255e-05	2.60492e-12	2582.87	3.14886e+07
15-43s.whole.wo.indels	2.56905e-06	7.84925e-14	84.0847	3.27299e+07
151-3.whole.wo.indels	3.2044e-06	9.77754e-14	105.018	3.2773e+07
152-1.whole.wo.indels	1.92254e-06	5.86818e-14	62.9864	3.27621e+07
152-3.whole.wo.indels	2.5838e-06	7.88727e-14	84.6429	3.27591e+07
152-4.whole.wo.indels	2.96878e-06	9.06584e-14	97.2185	3.27469e+07
212-2.whole.wo.indels	1.77806e-06	5.42826e-14	58.2415	3.27556e+07
213-1.whole.wo.indels	2.17444e-06	6.63654e-14	71.245	3.27647e+07
38-1.whole.wo.indels	2.56336e-06	7.82152e-14	84.0097	3.27732e+07
45-1.whole.wo.indels	2.49192e-06	7.60692e-14	81.6318	3.27586e+07
45-12.whole.wo.indels	2.04879e-06	6.25416e-14	67.116	3.27588e+07
45-13.whole.wo.indels	2.34683e-06	7.16315e-14	76.8879	3.27625e+07
45-4.whole.wo.indels	2.11001e-06	6.43877e-14	69.146	3.27704e+07
47-10.whole.wo.indels	2.13007e-06	6.4995e-14	69.8084	3.27728e+07
54-1.whole.wo.indels	5.62016e-05	1.761e-12	1793.65	3.19145e+07
54-10.whole.wo.indels	4.1045e-05	1.28502e-12	1311.02	3.19411e+07
736-1.whole.wo.indels	0.000102107	3.26405e-12	3194.17	3.12825e+07
As_615.whole.wo.indels	2.61713e-06	7.98928e-14	85.7319	3.2758e+07
As_628.whole.wo.indels	3.54507e-06	1.08256e-13	116.091	3.27471e+07
As_676-1.whole.wo.indels	4.62113e-05	1.45663e-12	1466.05	3.17249e+07
As_687-1.whole.wo.indels	2.90858e-06	8.88101e-14	95.2573	3.27505e+07
As_691-1.whole.wo.indels	2.9565e-06	9.02843e-14	96.8154	3.27466e+07
As_692-1.whole.wo.indels	3.27911e-06	1.00116e-13	107.401	3.27532e+07
As_711-2.whole.wo.indels	2.17143e-06	6.62841e-14	71.1351	3.27595e+07
As_720-3.whole.wo.indels	3.45435e-06	1.05452e-13	113.156	3.27576e+07
As_732-1.whole.wo.indels	2.70426e-06	8.25815e-14	88.5553	3.27466e+07
As_737-1.whole.wo.indels	3.26372e-06	9.96221e-14	106.923	3.2761e+07
As_739-3.whole.wo.indels	4.0339e-05	1.27257e-12	1278.7	3.1699e+07
As_746-1.whole.wo.indels	3.09999e-06	9.46216e-14	101.562	3.27619e+07
As_749-3.whole.wo.indels	3.726e-05	1.16575e-12	1190.92	3.19623e+07
As_754-2.whole.wo.indels	3.04927e-06	9.31199e-14	99.8503	3.27456e+07
As_774-1.whole.wo.indels	2.65112e-06	8.09357e-14	86.8399	3.27559e+07
As_CONR4D.whole.wo.indels	2.66522e-06	8.13338e-14	87.3363	3.27689e+07
As_CONRI4.whole.wo.indels	2.76085e-06	8.42705e-14	90.4505	3.27618e+07
As_OONR2J.whole.wo.indels	3.25943e-06	9.95126e-14	106.759	3.2754e+07
As_T2R3B.whole.wo.indels	4.07545e-06	1.24567e-13	133.336	3.27168e+07
NODE_49	6.30048e-05	1.99121e-12	1993.56	3.16414e+07
NODE_50	2.33942e-05	7.2184e-13	758.185	3.24091e+07
NODE_51	2.06054e-05	6.36804e-13	666.737	3.23575e+07
NODE_52	8.75297e-06	2.68594e-13	285.243	3.25881e+07
NODE_53	3.0835e-05	9.60555e-13	989.843	3.21013e+07
NODE_54	2.69773e-05	8.34633e-13	871.968	3.23223e+07
NODE_55	1.44859e-05	4.45454e-13	471.076	3.25195e+07
NODE_56	2.72417e-05	8.465e-13	876.682	3.21816e+07
NODE_57	1.83991e-05	5.65553e-13	598.574	3.25328e+07
NODE_58	5.00661e-07	1.52729e-14	16.4122	3.2781e+07
NODE_59	3.54227e-07	1.08044e-14	11.6135	3.27855e+07
