Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.534864	3.99986e-05	7152.22	13372
1/delta	0.00114611	1.83663e-10	7152.12	6.24032e+06
nu	0.0158117	2.5342e-09	98654.7	6.23933e+06
124-2.whole.wo.indels.fasta.chr-1	4.67012e-05	6.88122e-12	316.95	6.78677e+06
131-4.whole.wo.indels.fasta.chr-1	2.52612e-05	3.68755e-12	173.049	6.8504e+06
132-2.whole.wo.indels.fasta.chr-1	3.34612e-06	4.81837e-13	23.2372	6.94451e+06
134-1.whole.wo.indels.fasta.chr-1	1.91099e-06	2.75195e-13	13.2701	6.94412e+06
14-23s.whole.wo.indels.fasta.chr-1	0.000449689	7.65756e-11	2640.79	5.87248e+06
142-2.whole.wo.indels.fasta.chr-1	2.81951e-06	4.06189e-13	19.5713	6.94139e+06
144-2.whole.wo.indels.fasta.chr-1	2.60939e-06	3.75691e-13	18.1237	6.94558e+06
15-183s.whole.wo.indels.fasta.chr-1	6.54897e-05	9.64973e-12	444.458	6.78668e+06
15-186s.whole.wo.indels.fasta.chr-1	1.98783e-06	2.86181e-13	13.8076	6.94607e+06
15-19s.whole.wo.indels.fasta.chr-1	2.9436e-06	4.23859e-13	20.4426	6.94477e+06
15-1s.whole.wo.indels.fasta.chr-1	4.60103e-05	6.75098e-12	313.576	6.81535e+06
15-20s.whole.wo.indels.fasta.chr-1	6.35487e-05	9.31278e-12	433.645	6.82382e+06
15-235s.whole.wo.indels.fasta.chr-1	9.0791e-05	1.368e-11	602.56	6.63678e+06
15-43s.whole.wo.indels.fasta.chr-1	3.20467e-06	4.61885e-13	22.2348	6.93825e+06
151-3.whole.wo.indels.fasta.chr-1	3.63895e-06	5.24201e-13	25.2612	6.94189e+06
152-1.whole.wo.indels.fasta.chr-1	2.79105e-06	4.0177e-13	19.3892	6.9469e+06
152-3.whole.wo.indels.fasta.chr-1	3.26458e-06	4.7003e-13	22.674	6.94547e+06
152-4.whole.wo.indels.fasta.chr-1	3.02234e-06	4.3551e-13	20.9743	6.93976e+06
212-2.whole.wo.indels.fasta.chr-1	2.98635e-06	4.3008e-13	20.7364	6.94371e+06
213-1.whole.wo.indels.fasta.chr-1	2.63747e-06	3.79885e-13	18.3115	6.94282e+06
38-1.whole.wo.indels.fasta.chr-1	3.85049e-06	5.54235e-13	26.7509	6.94739e+06
45-1.whole.wo.indels.fasta.chr-1	3.2872e-06	4.73276e-13	22.8316	6.94562e+06
45-12.whole.wo.indels.fasta.chr-1	2.67262e-06	3.84856e-13	18.56	6.94448e+06
45-13.whole.wo.indels.fasta.chr-1	3.28911e-06	4.73496e-13	22.8475	6.94643e+06
45-4.whole.wo.indels.fasta.chr-1	2.48609e-06	3.57993e-13	17.2646	6.94451e+06
47-10.whole.wo.indels.fasta.chr-1	2.2987e-06	3.30868e-13	15.9702	6.9475e+06
54-1.whole.wo.indels.fasta.chr-1	9.63245e-05	1.45406e-11	638.104	6.62453e+06
54-10.whole.wo.indels.fasta.chr-1	3.59992e-05	5.26609e-12	246.092	6.83605e+06
736-1.whole.wo.indels.fasta.chr-1	8.83667e-05	1.31055e-11	595.832	6.74272e+06
As_615.whole.wo.indels.fasta.chr-1	3.93675e-06	5.67001e-13	27.3333	6.94311e+06
As_628.whole.wo.indels.fasta.chr-1	3.2134e-06	4.63376e-13	22.2841	6.93475e+06
As_676-1.whole.wo.indels.fasta.chr-1	8.86334e-05	1.32455e-11	593.1	6.6916e+06
As_687-1.whole.wo.indels.fasta.chr-1	2.86558e-06	4.12954e-13	19.8849	6.93922e+06
As_691-1.whole.wo.indels.fasta.chr-1	3.24431e-06	4.67218e-13	22.5282	6.9439e+06
As_692-1.whole.wo.indels.fasta.chr-1	4.13995e-06	5.96462e-13	28.7348	6.94084e+06
As_711-2.whole.wo.indels.fasta.chr-1	4.49059e-06	6.46576e-13	31.1879	6.94518e+06
As_720-3.whole.wo.indels.fasta.chr-1	4.43126e-06	6.38298e-13	30.7631	6.9423e+06
As_732-1.whole.wo.indels.fasta.chr-1	2.76128e-06	3.97929e-13	19.1609	6.93914e+06
As_737-1.whole.wo.indels.fasta.chr-1	4.03415e-06	5.80726e-13	28.0242	6.94674e+06
As_739-3.whole.wo.indels.fasta.chr-1	3.86881e-05	5.71659e-12	261.828	6.76768e+06
As_746-1.whole.wo.indels.fasta.chr-1	5.21348e-06	7.50868e-13	36.1987	6.94328e+06
As_749-3.whole.wo.indels.fasta.chr-1	2.27509e-05	3.31305e-12	156.232	6.86705e+06
As_754-2.whole.wo.indels.fasta.chr-1	4.31112e-06	6.20913e-13	29.9329	6.94319e+06
As_774-1.whole.wo.indels.fasta.chr-1	2.84129e-06	4.09299e-13	19.7238	6.94184e+06
As_CONR4D.whole.wo.indels.fasta.chr-1	3.68551e-06	5.30628e-13	25.598	6.94557e+06
As_CONRI4.whole.wo.indels.fasta.chr-1	3.72748e-06	5.36846e-13	25.881	6.9433e+06
As_OONR2J.whole.wo.indels.fasta.chr-1	4.40752e-06	6.35074e-13	30.5889	6.94016e+06
As_T2R3B.whole.wo.indels.fasta.chr-1	5.09388e-06	7.35492e-13	35.2793	6.92582e+06
NODE_49	2.80992e-05	4.12773e-12	191.283	6.80742e+06
NODE_50	3.76508e-05	5.5416e-12	255.807	6.7942e+06
NODE_51	3.57613e-05	5.26827e-12	242.749	6.78805e+06
NODE_52	7.92901e-07	1.14125e-13	5.50879	6.94764e+06
NODE_53	7.01286e-07	1.00938e-13	4.87234	6.94771e+06
NODE_54	9.81118e-07	1.41189e-13	6.81777	6.94898e+06
NODE_55	2.83545e-07	4.08054e-14	1.97028	6.94873e+06
NODE_56	1.11229e-06	1.60074e-13	7.72893	6.94864e+06
NODE_57	2.83783e-06	4.08503e-13	19.7142	6.94692e+06
NODE_58	1.28526e-05	1.89429e-12	87.203	6.78488e+06
NODE_59	4.24519e-05	6.24037e-12	288.791	6.80279e+06
NODE_60	1.78934e-05	2.60911e-12	122.713	6.85804e+06
NODE_61	2.7916e-05	4.0765e-12	191.169	6.84802e+06
NODE_62	3.53037e-05	5.12879e-12	243.011	6.88344e+06
NODE_63	1.45379e-05	2.10781e-12	100.271	6.89716e+06
NODE_64	8.96041e-07	1.28998e-13	6.22405	6.94617e+06
NODE_65	4.18671e-05	6.19924e-12	282.753	6.75358e+06
NODE_66	1.46953e-06	2.11488e-13	10.2111	6.94853e+06
NODE_67	8.57911e-06	1.23589e-12	59.5529	6.94162e+06
NODE_68	5.13608e-06	7.47467e-13	35.2916	6.87132e+06
NODE_69	3.21025e-05	4.68901e-12	219.784	6.84632e+06
NODE_70	1.92396e-06	2.76925e-13	13.3669	6.94759e+06
NODE_71	5.47336e-06	7.87724e-13	38.0306	6.94831e+06
NODE_72	6.31836e-05	9.29103e-12	429.68	6.8005e+06
NODE_73	2.26811e-05	3.31839e-12	155.025	6.83497e+06
NODE_74	1.50681e-05	2.19289e-12	103.538	6.87136e+06
NODE_75	1.27965e-06	1.84304e-13	8.88484	6.94317e+06
NODE_76	4.29327e-05	6.24468e-12	295.166	6.87509e+06
NODE_77	1.8133e-05	2.62718e-12	125.155	6.90207e+06
NODE_78	9.28883e-06	1.34129e-12	64.328	6.92531e+06
NODE_79	2.07782e-05	3.04853e-12	141.62	6.8158e+06
NODE_80	2.4004e-06	3.45594e-13	16.6724	6.94571e+06
NODE_81	6.47159e-05	9.53652e-12	439.169	6.78611e+06
NODE_82	3.36277e-05	4.87881e-12	231.782	6.8926e+06
NODE_83	4.17904e-05	6.16737e-12	283.174	6.77605e+06
NODE_84	8.68219e-07	1.24975e-13	6.03164	6.94714e+06
NODE_85	1.11877e-06	1.60985e-13	7.77491	6.94951e+06
NODE_86	2.15266e-06	3.09822e-13	14.9568	6.94805e+06
NODE_87	1.43295e-06	2.06239e-13	9.95619	6.94803e+06
NODE_88	1.15432e-05	1.67332e-12	79.6291	6.89836e+06
NODE_89	2.14041e-05	3.11458e-12	147.094	6.87224e+06
NODE_90	1.82456e-05	2.64693e-12	125.769	6.89311e+06
NODE_91	1.68828e-06	2.4306e-13	11.7266	6.94593e+06
NODE_92	1.44787e-06	2.08363e-13	10.0609	6.94878e+06
NODE_93	1.25843e-06	1.81095e-13	8.7449	6.94903e+06
