# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:12571,num_snp_partitions:3,num_samps:1000
 left_snp right_snp mean p0.025 p0.500 p0.975
230 236 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
236 282 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
282 294 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
294 297 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
297 330 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
330 385 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
385 438 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
438 448 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
448 461 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
461 485 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
485 504 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
504 510 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
510 535 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
535 546 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
546 593 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
593 594 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
594 602 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
602 626 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
626 632 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
632 648 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
648 649 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
649 678 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
678 698 1.4808e-02 1.3741e-02 1.4927e-02 1.5738e-02
