Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.534783	3.99846e-05	7152.57	13374.7
1/delta	0.00114631	1.83717e-10	7152.47	6.23955e+06
nu	0.0158133	2.53476e-09	98652	6.23856e+06
124-2.whole.wo.indels.fasta.chr-1	4.67051e-05	6.88178e-12	316.977	6.78678e+06
131-4.whole.wo.indels.fasta.chr-1	2.5267e-05	3.68839e-12	173.09	6.85043e+06
132-2.whole.wo.indels.fasta.chr-1	3.34554e-06	4.81753e-13	23.2331	6.94451e+06
134-1.whole.wo.indels.fasta.chr-1	1.91007e-06	2.75063e-13	13.2637	6.94412e+06
14-23s.whole.wo.indels.fasta.chr-1	0.000449942	7.66124e-11	2642.49	5.87296e+06
142-2.whole.wo.indels.fasta.chr-1	2.81792e-06	4.0596e-13	19.5603	6.94138e+06
144-2.whole.wo.indels.fasta.chr-1	2.609e-06	3.75635e-13	18.121	6.94558e+06
15-183s.whole.wo.indels.fasta.chr-1	6.54834e-05	9.64881e-12	444.415	6.78668e+06
15-186s.whole.wo.indels.fasta.chr-1	1.98767e-06	2.86157e-13	13.8065	6.94607e+06
15-19s.whole.wo.indels.fasta.chr-1	2.94346e-06	4.23838e-13	20.4416	6.94477e+06
15-1s.whole.wo.indels.fasta.chr-1	4.60181e-05	6.7521e-12	313.63	6.81537e+06
15-20s.whole.wo.indels.fasta.chr-1	6.35411e-05	9.31166e-12	433.593	6.82382e+06
15-235s.whole.wo.indels.fasta.chr-1	9.07955e-05	1.36806e-11	602.591	6.63679e+06
15-43s.whole.wo.indels.fasta.chr-1	3.20253e-06	4.61576e-13	22.2199	6.93825e+06
151-3.whole.wo.indels.fasta.chr-1	3.63882e-06	5.24182e-13	25.2603	6.94189e+06
152-1.whole.wo.indels.fasta.chr-1	2.79024e-06	4.01653e-13	19.3835	6.9469e+06
152-3.whole.wo.indels.fasta.chr-1	3.26367e-06	4.699e-13	22.6677	6.94546e+06
152-4.whole.wo.indels.fasta.chr-1	3.02077e-06	4.35285e-13	20.9634	6.93976e+06
212-2.whole.wo.indels.fasta.chr-1	2.98509e-06	4.29899e-13	20.7276	6.9437e+06
213-1.whole.wo.indels.fasta.chr-1	2.63656e-06	3.79754e-13	18.3052	6.94282e+06
38-1.whole.wo.indels.fasta.chr-1	3.8497e-06	5.54122e-13	26.7454	6.94739e+06
45-1.whole.wo.indels.fasta.chr-1	3.28586e-06	4.73084e-13	22.8224	6.94562e+06
45-12.whole.wo.indels.fasta.chr-1	2.67212e-06	3.84783e-13	18.5565	6.94447e+06
45-13.whole.wo.indels.fasta.chr-1	3.28853e-06	4.73412e-13	22.8435	6.94643e+06
45-4.whole.wo.indels.fasta.chr-1	2.48526e-06	3.57874e-13	17.2589	6.94451e+06
47-10.whole.wo.indels.fasta.chr-1	2.29828e-06	3.30807e-13	15.9673	6.9475e+06
54-1.whole.wo.indels.fasta.chr-1	9.63261e-05	1.45408e-11	638.117	6.62454e+06
54-10.whole.wo.indels.fasta.chr-1	3.60057e-05	5.26701e-12	246.137	6.83607e+06
736-1.whole.wo.indels.fasta.chr-1	8.83479e-05	1.31028e-11	595.703	6.7427e+06
As_615.whole.wo.indels.fasta.chr-1	3.93587e-06	5.66874e-13	27.3271	6.9431e+06
As_628.whole.wo.indels.fasta.chr-1	3.2126e-06	4.63261e-13	22.2786	6.93475e+06
As_676-1.whole.wo.indels.fasta.chr-1	8.8621e-05	1.32436e-11	593.016	6.6916e+06
As_687-1.whole.wo.indels.fasta.chr-1	2.86533e-06	4.12918e-13	19.8831	6.93922e+06
As_691-1.whole.wo.indels.fasta.chr-1	3.24424e-06	4.67207e-13	22.5276	6.9439e+06
As_692-1.whole.wo.indels.fasta.chr-1	4.1401e-06	5.96484e-13	28.7358	6.94084e+06
As_711-2.whole.wo.indels.fasta.chr-1	4.48983e-06	6.46468e-13	31.1827	6.94518e+06
As_720-3.whole.wo.indels.fasta.chr-1	4.43e-06	6.38118e-13	30.7544	6.94229e+06
As_732-1.whole.wo.indels.fasta.chr-1	2.76062e-06	3.97834e-13	19.1563	6.93913e+06
As_737-1.whole.wo.indels.fasta.chr-1	4.03353e-06	5.80637e-13	28.0199	6.94673e+06
As_739-3.whole.wo.indels.fasta.chr-1	3.86932e-05	5.71733e-12	261.864	6.7677e+06
As_746-1.whole.wo.indels.fasta.chr-1	5.21297e-06	7.50794e-13	36.1951	6.94328e+06
As_749-3.whole.wo.indels.fasta.chr-1	2.27581e-05	3.31409e-12	156.282	6.86709e+06
As_754-2.whole.wo.indels.fasta.chr-1	4.30908e-06	6.2062e-13	29.9187	6.94318e+06
As_774-1.whole.wo.indels.fasta.chr-1	2.84016e-06	4.09136e-13	19.7159	6.94184e+06
As_CONR4D.whole.wo.indels.fasta.chr-1	3.68433e-06	5.30458e-13	25.5898	6.94557e+06
As_CONRI4.whole.wo.indels.fasta.chr-1	3.87651e-06	5.58308e-13	26.9158	6.94331e+06
As_OONR2J.whole.wo.indels.fasta.chr-1	4.40583e-06	6.34831e-13	30.5771	6.94015e+06
As_T2R3B.whole.wo.indels.fasta.chr-1	5.09067e-06	7.35029e-13	35.2569	6.9258e+06
NODE_49	2.81011e-05	4.12801e-12	191.297	6.80743e+06
NODE_50	3.76551e-05	5.54223e-12	255.837	6.79422e+06
NODE_51	3.57626e-05	5.26845e-12	242.759	6.78806e+06
