left_snp right_snp mean p0.025 p0.500 p0.975
931708 932838 1.6124e+00 5.7712e-01 1.3257e+00 3.9977e+00
1336219 1336220 2.3050e+00 1.0220e-04 2.3661e+00 3.3410e+00
1336220 1336270 2.4553e+00 1.7723e+00 2.3867e+00 3.4446e+00
9823778 9824592 2.0084e+00 2.0114e-02 1.7226e+00 4.7370e+00
10791929 10792165 1.3030e+00 9.9034e-01 1.2857e+00 1.7262e+00
15471309 15471986 2.4595e+00 1.4508e+00 2.1521e+00 5.7813e+00
15732088 15733962 1.5249e+00 5.3736e-01 1.2612e+00 4.3418e+00
17601907 17603003 1.7469e+00 7.4448e-01 1.4287e+00 4.1776e+00
18024396 18026850 1.4601e+00 4.1618e-01 1.1221e+00 4.6473e+00
21775111 21775496 3.4462e+00 2.4038e+00 3.1554e+00 6.0834e+00
25589391 25589859 2.9626e+00 1.4312e+00 2.6226e+00 5.8782e+00
25589859 25590076 2.9626e+00 1.4312e+00 2.6226e+00 5.8782e+00
25590076 25590320 2.9626e+00 1.4312e+00 2.6226e+00 5.8782e+00
25590320 25590507 2.9626e+00 1.4312e+00 2.6226e+00 5.8782e+00
27892523 27893641 1.8859e+00 8.6396e-01 1.5787e+00 4.6599e+00
30324698 30325010 3.3653e+00 8.7919e-05 3.4934e+00 6.5281e+00
32008681 32009267 2.4179e+00 1.1162e+00 2.1035e+00 5.2922e+00
