Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.534797	3.99842e-05	7153	13375.2
1/delta	0.00114644	1.83746e-10	7152.9	6.23924e+06
nu	0.015814	2.535e-09	98651.5	6.23825e+06
124-2.whole.wo.indels.fasta.chr-1	4.67072e-05	6.88207e-12	316.992	6.78679e+06
131-4.whole.wo.indels.fasta.chr-1	2.52677e-05	3.68848e-12	173.095	6.85044e+06
132-2.whole.wo.indels.fasta.chr-1	3.34555e-06	4.81754e-13	23.2332	6.94451e+06
134-1.whole.wo.indels.fasta.chr-1	1.91011e-06	2.75069e-13	13.264	6.94412e+06
14-23s.whole.wo.indels.fasta.chr-1	0.000449964	7.66154e-11	2642.65	5.87302e+06
142-2.whole.wo.indels.fasta.chr-1	2.81801e-06	4.05973e-13	19.5609	6.94138e+06
144-2.whole.wo.indels.fasta.chr-1	2.60901e-06	3.75636e-13	18.121	6.94558e+06
15-183s.whole.wo.indels.fasta.chr-1	6.54855e-05	9.64911e-12	444.429	6.78669e+06
15-186s.whole.wo.indels.fasta.chr-1	1.98767e-06	2.86157e-13	13.8065	6.94607e+06
15-19s.whole.wo.indels.fasta.chr-1	2.94345e-06	4.23837e-13	20.4416	6.94477e+06
15-1s.whole.wo.indels.fasta.chr-1	4.60203e-05	6.75242e-12	313.646	6.81538e+06
15-20s.whole.wo.indels.fasta.chr-1	6.35424e-05	9.31184e-12	433.602	6.82383e+06
15-235s.whole.wo.indels.fasta.chr-1	9.0798e-05	1.3681e-11	602.608	6.6368e+06
15-43s.whole.wo.indels.fasta.chr-1	3.20262e-06	4.61589e-13	22.2205	6.93825e+06
151-3.whole.wo.indels.fasta.chr-1	3.6388e-06	5.2418e-13	25.2602	6.94189e+06
152-1.whole.wo.indels.fasta.chr-1	2.79026e-06	4.01656e-13	19.3837	6.9469e+06
152-3.whole.wo.indels.fasta.chr-1	3.26372e-06	4.69906e-13	22.668	6.94546e+06
152-4.whole.wo.indels.fasta.chr-1	3.02082e-06	4.35292e-13	20.9637	6.93976e+06
212-2.whole.wo.indels.fasta.chr-1	2.98515e-06	4.29907e-13	20.728	6.94371e+06
213-1.whole.wo.indels.fasta.chr-1	2.63658e-06	3.79757e-13	18.3053	6.94282e+06
38-1.whole.wo.indels.fasta.chr-1	3.84971e-06	5.54123e-13	26.7454	6.94739e+06
45-1.whole.wo.indels.fasta.chr-1	3.28588e-06	4.73086e-13	22.8225	6.94562e+06
45-12.whole.wo.indels.fasta.chr-1	2.67215e-06	3.84787e-13	18.5567	6.94447e+06
45-13.whole.wo.indels.fasta.chr-1	3.28852e-06	4.73412e-13	22.8435	6.94643e+06
45-4.whole.wo.indels.fasta.chr-1	2.48529e-06	3.57878e-13	17.2591	6.94451e+06
47-10.whole.wo.indels.fasta.chr-1	2.29828e-06	3.30807e-13	15.9673	6.9475e+06
54-1.whole.wo.indels.fasta.chr-1	9.63295e-05	1.45413e-11	638.141	6.62456e+06
54-10.whole.wo.indels.fasta.chr-1	3.60071e-05	5.26721e-12	246.147	6.83608e+06
736-1.whole.wo.indels.fasta.chr-1	8.83502e-05	1.31031e-11	595.72	6.74271e+06
As_615.whole.wo.indels.fasta.chr-1	3.93587e-06	5.66875e-13	27.3272	6.9431e+06
As_628.whole.wo.indels.fasta.chr-1	3.21263e-06	4.63266e-13	22.2788	6.93475e+06
As_676-1.whole.wo.indels.fasta.chr-1	8.86244e-05	1.32441e-11	593.041	6.69161e+06
As_687-1.whole.wo.indels.fasta.chr-1	2.86534e-06	4.1292e-13	19.8833	6.93922e+06
As_691-1.whole.wo.indels.fasta.chr-1	3.24426e-06	4.6721e-13	22.5278	6.9439e+06
As_692-1.whole.wo.indels.fasta.chr-1	4.14021e-06	5.96499e-13	28.7365	6.94084e+06
As_711-2.whole.wo.indels.fasta.chr-1	4.48983e-06	6.46468e-13	31.1827	6.94518e+06
As_720-3.whole.wo.indels.fasta.chr-1	4.43004e-06	6.38123e-13	30.7546	6.94229e+06
As_732-1.whole.wo.indels.fasta.chr-1	2.76063e-06	3.97834e-13	19.1564	6.93914e+06
As_737-1.whole.wo.indels.fasta.chr-1	4.03354e-06	5.80638e-13	28.0199	6.94673e+06
As_739-3.whole.wo.indels.fasta.chr-1	3.86944e-05	5.7175e-12	261.872	6.76771e+06
As_746-1.whole.wo.indels.fasta.chr-1	5.21297e-06	7.50793e-13	36.1951	6.94328e+06
As_749-3.whole.wo.indels.fasta.chr-1	2.27587e-05	3.31418e-12	156.286	6.86709e+06
As_754-2.whole.wo.indels.fasta.chr-1	4.30916e-06	6.20631e-13	29.9193	6.94318e+06
As_774-1.whole.wo.indels.fasta.chr-1	2.84021e-06	4.09143e-13	19.7163	6.94184e+06
As_CONR4D.whole.wo.indels.fasta.chr-1	3.68435e-06	5.30461e-13	25.5899	6.94557e+06
As_CONRI4.whole.wo.indels.fasta.chr-1	3.87656e-06	5.58316e-13	26.9162	6.94331e+06
As_OONR2J.whole.wo.indels.fasta.chr-1	4.40585e-06	6.34835e-13	30.5773	6.94016e+06
As_T2R3B.whole.wo.indels.fasta.chr-1	5.0908e-06	7.35048e-13	35.2579	6.9258e+06
NODE_49	2.8102e-05	4.12813e-12	191.302	6.80744e+06
NODE_50	3.76558e-05	5.54233e-12	255.842	6.79422e+06
NODE_51	3.57636e-05	5.2686e-12	242.766	6.78807e+06
NODE_52	7.92884e-07	1.14123e-13	5.50867	6.94764e+06
NODE_53	7.01269e-07	1.00935e-13	4.87221	6.94771e+06
NODE_54	9.81073e-07	1.41182e-13	6.81746	6.94898e+06
NODE_55	2.83532e-07	4.08034e-14	1.97019	6.94873e+06
NODE_56	1.11227e-06	1.60071e-13	7.72878	6.94864e+06
NODE_57	2.83801e-06	4.08527e-13	19.7154	6.94692e+06
NODE_58	1.2858e-05	1.89508e-12	87.2399	6.7849e+06
NODE_59	4.24682e-05	6.2427e-12	288.905	6.80285e+06
NODE_60	1.7889e-05	2.60848e-12	122.683	6.85803e+06
NODE_61	2.79138e-05	4.07617e-12	191.154	6.84803e+06
NODE_62	3.53057e-05	5.12907e-12	243.025	6.88345e+06
NODE_63	1.45435e-05	2.10861e-12	100.309	6.89719e+06
NODE_64	8.95854e-07	1.28971e-13	6.22275	6.94616e+06
NODE_65	4.18828e-05	6.20151e-12	282.861	6.75364e+06
NODE_66	1.46809e-06	2.11281e-13	10.2011	6.94852e+06
NODE_67	8.57853e-06	1.23581e-12	59.5489	6.94162e+06
NODE_68	5.13532e-06	7.47356e-13	35.2864	6.87131e+06
NODE_69	3.21005e-05	4.68872e-12	219.771	6.84633e+06
NODE_70	1.92334e-06	2.76835e-13	13.3626	6.94758e+06
NODE_71	5.47317e-06	7.87698e-13	38.0293	6.94831e+06
NODE_72	6.31862e-05	9.29137e-12	429.7	6.80053e+06
NODE_73	2.2688e-05	3.31938e-12	155.072	6.835e+06
NODE_74	1.50712e-05	2.19334e-12	103.56	6.87137e+06
NODE_75	1.27944e-06	1.84273e-13	8.88336	6.94317e+06
NODE_76	4.29241e-05	6.24344e-12	295.107	6.87508e+06
