Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.605549	0.000132089	2776.08	4584.4
1/delta	0.00123587	5.49497e-10	2779.59	2.2491e+06
nu	0.0169563	7.54247e-09	38119.5	2.24811e+06
124-2.whole.wo.indels.fasta.chr-5	2.55725e-05	9.29557e-12	70.3509	2.75104e+06
131-4.whole.wo.indels.fasta.chr-5	4.89756e-05	1.78674e-11	134.245	2.74106e+06
132-2.whole.wo.indels.fasta.chr-5	2.61331e-06	9.39848e-13	7.26651	2.78057e+06
134-1.whole.wo.indels.fasta.chr-5	3.38334e-06	1.21784e-12	9.39942	2.77815e+06
14-23s.whole.wo.indels.fasta.chr-5	0.000227536	9.37637e-11	552.16	2.42669e+06
142-2.whole.wo.indels.fasta.chr-5	3.21234e-06	1.1569e-12	8.9196	2.77667e+06
144-2.whole.wo.indels.fasta.chr-5	5.21716e-06	1.87632e-12	14.5065	2.78053e+06
15-183s.whole.wo.indels.fasta.chr-5	3.65723e-05	1.32694e-11	100.798	2.75614e+06
15-186s.whole.wo.indels.fasta.chr-5	3.30793e-06	1.18916e-12	9.20177	2.78173e+06
15-19s.whole.wo.indels.fasta.chr-5	3.48657e-06	1.25401e-12	9.69385	2.78034e+06
15-1s.whole.wo.indels.fasta.chr-5	1.01836e-05	3.686e-12	28.1351	2.76278e+06
15-20s.whole.wo.indels.fasta.chr-5	1.97811e-05	7.14775e-12	54.7433	2.76746e+06
15-235s.whole.wo.indels.fasta.chr-5	8.86241e-05	3.33386e-11	235.589	2.6583e+06
15-43s.whole.wo.indels.fasta.chr-5	4.78409e-06	1.72115e-12	13.2978	2.77959e+06
151-3.whole.wo.indels.fasta.chr-5	5.2797e-06	1.89932e-12	14.6764	2.77978e+06
152-1.whole.wo.indels.fasta.chr-5	2.85108e-06	1.02618e-12	7.92129	2.77835e+06
152-3.whole.wo.indels.fasta.chr-5	2.80456e-06	1.00871e-12	7.7976	2.78033e+06
152-4.whole.wo.indels.fasta.chr-5	2.44917e-06	8.80947e-13	6.80908	2.78016e+06
212-2.whole.wo.indels.fasta.chr-5	2.14117e-06	7.71301e-13	5.94398	2.77605e+06
