# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:22916,num_snp_partitions:5,num_samps:1000
left_snp right_snp mean p0.025 p0.500 p0.975
428 474 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
474 537 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
537 875 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
875 1162 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1162 1211 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1211 1381 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1381 1435 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1435 1444 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1444 1479 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1479 1592 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1592 1619 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1619 1674 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1674 1761 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
1761 2027 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
2027 2403 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
2403 2922 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
2922 3105 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3105 3342 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3342 3447 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3447 3515 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3515 3571 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3571 3577 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3577 3602 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3602 3946 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
3946 4063 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
4063 4596 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
4596 4739 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
4739 4842 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
4842 5051 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5051 5133 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5133 5300 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5300 5387 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5387 5393 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5393 5406 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5406 5433 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5433 5576 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5576 5591 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5591 5606 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
5606 5803 5.8414e-06 2.7478e-07 5.5800e-06 1.2103e-05
