Node	Beg	End
124-2.whole.wo.indels	1126	11882
124-2.whole.wo.indels	14456	28627
124-2.whole.wo.indels	499943	500776
124-2.whole.wo.indels	504484	504582
124-2.whole.wo.indels	792599	793815
124-2.whole.wo.indels	796063	802250
124-2.whole.wo.indels	918231	918258
124-2.whole.wo.indels	921215	921487
124-2.whole.wo.indels	1455045	1455685
124-2.whole.wo.indels	1463598	1473255
124-2.whole.wo.indels	1527111	1530208
124-2.whole.wo.indels	1533818	1535207
124-2.whole.wo.indels	1563625	1568213
124-2.whole.wo.indels	1571509	1574944
124-2.whole.wo.indels	1580304	1584106
124-2.whole.wo.indels	1588011	1590775
124-2.whole.wo.indels	1592068	1601582
124-2.whole.wo.indels	1633556	1636442
124-2.whole.wo.indels	1638254	1639990
124-2.whole.wo.indels	1663791	1665432
124-2.whole.wo.indels	1667437	1667943
124-2.whole.wo.indels	1668985	1670668
124-2.whole.wo.indels	1685144	1686250
124-2.whole.wo.indels	1715718	1715878
124-2.whole.wo.indels	1721102	1721626
124-2.whole.wo.indels	1789367	1789406
124-2.whole.wo.indels	1935696	1954953
124-2.whole.wo.indels	2112510	2119830
124-2.whole.wo.indels	2122540	2122819
124-2.whole.wo.indels	2152847	2154277
124-2.whole.wo.indels	2172365	2173622
124-2.whole.wo.indels	2195849	2197706
124-2.whole.wo.indels	2289142	2290880
124-2.whole.wo.indels	2293070	2293832
124-2.whole.wo.indels	2298686	2298865
124-2.whole.wo.indels	2302091	2302741
124-2.whole.wo.indels	2347787	2349303
124-2.whole.wo.indels	2352971	2357274
124-2.whole.wo.indels	2360320	2361042
124-2.whole.wo.indels	4001413	4001936
124-2.whole.wo.indels	4020575	4020624
124-2.whole.wo.indels	5256046	5256189
124-2.whole.wo.indels	5300598	5305677
124-2.whole.wo.indels	5332871	5333976
124-2.whole.wo.indels	5335331	5337948
124-2.whole.wo.indels	5731964	5731986
124-2.whole.wo.indels	5739196	5739233
124-2.whole.wo.indels	5760117	5760241
124-2.whole.wo.indels	6641624	6642772
124-2.whole.wo.indels	6842363	6842609
124-2.whole.wo.indels	6847954	6847967
124-2.whole.wo.indels	6849500	6849630
124-2.whole.wo.indels	6856588	6856885
124-2.whole.wo.indels	6863332	6863683
124-2.whole.wo.indels	6869744	6869772
124-2.whole.wo.indels	6884642	6885290
124-2.whole.wo.indels	6895501	6897716
124-2.whole.wo.indels	7077318	7077366
124-2.whole.wo.indels	7180160	7183725
124-2.whole.wo.indels	7189783	7190115
124-2.whole.wo.indels	7497295	7500164
124-2.whole.wo.indels	7595818	7598738
124-2.whole.wo.indels	7602299	7602535
124-2.whole.wo.indels	7663593	7664051
124-2.whole.wo.indels	7665126	7668325
124-2.whole.wo.indels	7670489	7674044
124-2.whole.wo.indels	7678771	7681702
124-2.whole.wo.indels	7685815	7688064
124-2.whole.wo.indels	7781705	7782092
124-2.whole.wo.indels	7787882	7788301
124-2.whole.wo.indels	7811704	7816759
124-2.whole.wo.indels	7854759	7855340
124-2.whole.wo.indels	7928531	7931620
124-2.whole.wo.indels	8178858	8179084
124-2.whole.wo.indels	8610451	8613315
124-2.whole.wo.indels	8617413	8619311
124-2.whole.wo.indels	8620645	8620944
124-2.whole.wo.indels	8824581	8827325
124-2.whole.wo.indels	11835019	11837009
124-2.whole.wo.indels	11862622	11863083
124-2.whole.wo.indels	11999845	12001749
124-2.whole.wo.indels	12130714	12131052
124-2.whole.wo.indels	12134409	12135700
124-2.whole.wo.indels	12137116	12138041
124-2.whole.wo.indels	12207663	12208076
124-2.whole.wo.indels	12267178	12274745
124-2.whole.wo.indels	12283446	12285239
124-2.whole.wo.indels	12298405	12298807
124-2.whole.wo.indels	12300112	12300228
124-2.whole.wo.indels	12335318	12337925
124-2.whole.wo.indels	12375028	12377257
124-2.whole.wo.indels	12384665	12387588
124-2.whole.wo.indels	12687893	12692967
124-2.whole.wo.indels	12697616	12703797
124-2.whole.wo.indels	12707106	12709014
124-2.whole.wo.indels	15193790	15194150
124-2.whole.wo.indels	15246345	15246415
124-2.whole.wo.indels	17433684	17433714
124-2.whole.wo.indels	17438384	17439071
124-2.whole.wo.indels	17603570	17607781
124-2.whole.wo.indels	17990235	17994723
124-2.whole.wo.indels	17996545	18002029
124-2.whole.wo.indels	18032997	18039618
124-2.whole.wo.indels	18049631	18051051
124-2.whole.wo.indels	18079520	18087051
124-2.whole.wo.indels	18100018	18107559
124-2.whole.wo.indels	18175392	18175406
124-2.whole.wo.indels	18176434	18176536
124-2.whole.wo.indels	18387984	18388404
124-2.whole.wo.indels	19236441	19237451
124-2.whole.wo.indels	19821911	19824180
124-2.whole.wo.indels	19836526	19837956
124-2.whole.wo.indels	19843804	19846193
