Node	Beg	End
124-2.whole.wo.indels.fasta.chr-6	1003373	1005359
124-2.whole.wo.indels.fasta.chr-6	1023484	1023635
124-2.whole.wo.indels.fasta.chr-6	1686447	1686992
124-2.whole.wo.indels.fasta.chr-6	1850849	1852609
124-2.whole.wo.indels.fasta.chr-6	1862566	1863151
124-2.whole.wo.indels.fasta.chr-6	2178020	2179652
124-2.whole.wo.indels.fasta.chr-6	2209466	2209998
124-2.whole.wo.indels.fasta.chr-6	2238541	2240480
124-2.whole.wo.indels.fasta.chr-6	2520015	2522172
124-2.whole.wo.indels.fasta.chr-6	2522930	2523927
124-2.whole.wo.indels.fasta.chr-6	2530316	2530540
124-2.whole.wo.indels.fasta.chr-6	2533210	2542830
124-2.whole.wo.indels.fasta.chr-6	2545370	2548376
124-2.whole.wo.indels.fasta.chr-6	2555580	2557797
124-2.whole.wo.indels.fasta.chr-6	2558775	2559152
124-2.whole.wo.indels.fasta.chr-6	2562851	2564603
124-2.whole.wo.indels.fasta.chr-6	2589557	2589628
131-4.whole.wo.indels.fasta.chr-6	49430	53126
131-4.whole.wo.indels.fasta.chr-6	2131107	2131526
132-2.whole.wo.indels.fasta.chr-6	2131175	2131359
132-2.whole.wo.indels.fasta.chr-6	2522878	2522960
14-23s.whole.wo.indels.fasta.chr-6	1	14174
14-23s.whole.wo.indels.fasta.chr-6	15145	17612
14-23s.whole.wo.indels.fasta.chr-6	18470	19185
14-23s.whole.wo.indels.fasta.chr-6	20986	21823
14-23s.whole.wo.indels.fasta.chr-6	23121	23797
14-23s.whole.wo.indels.fasta.chr-6	28151	30028
14-23s.whole.wo.indels.fasta.chr-6	34838	37962
14-23s.whole.wo.indels.fasta.chr-6	39563	41075
14-23s.whole.wo.indels.fasta.chr-6	41790	53794
14-23s.whole.wo.indels.fasta.chr-6	55381	58612
14-23s.whole.wo.indels.fasta.chr-6	81747	82504
14-23s.whole.wo.indels.fasta.chr-6	99773	100495
14-23s.whole.wo.indels.fasta.chr-6	108358	109891
14-23s.whole.wo.indels.fasta.chr-6	114164	115213
14-23s.whole.wo.indels.fasta.chr-6	137781	138265
14-23s.whole.wo.indels.fasta.chr-6	159062	173343
14-23s.whole.wo.indels.fasta.chr-6	174589	179013
14-23s.whole.wo.indels.fasta.chr-6	180304	181294
14-23s.whole.wo.indels.fasta.chr-6	185985	188756
