Node	Beg	End
124-2.whole.wo.indels.fasta.chr-1	499943	500776
124-2.whole.wo.indels.fasta.chr-1	504484	504582
124-2.whole.wo.indels.fasta.chr-1	792599	793815
124-2.whole.wo.indels.fasta.chr-1	796063	802250
124-2.whole.wo.indels.fasta.chr-1	918231	918258
124-2.whole.wo.indels.fasta.chr-1	921215	921487
124-2.whole.wo.indels.fasta.chr-1	1455045	1455685
124-2.whole.wo.indels.fasta.chr-1	1463598	1473255
124-2.whole.wo.indels.fasta.chr-1	1527111	1530208
124-2.whole.wo.indels.fasta.chr-1	1533818	1535207
124-2.whole.wo.indels.fasta.chr-1	1563625	1568213
124-2.whole.wo.indels.fasta.chr-1	1571509	1574944
124-2.whole.wo.indels.fasta.chr-1	1580304	1584106
124-2.whole.wo.indels.fasta.chr-1	1588011	1590775
124-2.whole.wo.indels.fasta.chr-1	1592068	1601582
124-2.whole.wo.indels.fasta.chr-1	1633556	1636442
124-2.whole.wo.indels.fasta.chr-1	1638254	1639990
124-2.whole.wo.indels.fasta.chr-1	1663791	1665432
124-2.whole.wo.indels.fasta.chr-1	1667437	1667943
124-2.whole.wo.indels.fasta.chr-1	1668985	1670668
124-2.whole.wo.indels.fasta.chr-1	1685144	1686250
124-2.whole.wo.indels.fasta.chr-1	1715718	1715878
124-2.whole.wo.indels.fasta.chr-1	1721102	1721626
124-2.whole.wo.indels.fasta.chr-1	1813431	1813448
124-2.whole.wo.indels.fasta.chr-1	1935696	1954953
124-2.whole.wo.indels.fasta.chr-1	2112510	2119830
124-2.whole.wo.indels.fasta.chr-1	2122540	2122819
124-2.whole.wo.indels.fasta.chr-1	2172365	2173622
124-2.whole.wo.indels.fasta.chr-1	2195849	2197706
124-2.whole.wo.indels.fasta.chr-1	2289142	2290880
124-2.whole.wo.indels.fasta.chr-1	2293070	2293832
124-2.whole.wo.indels.fasta.chr-1	2298686	2298865
124-2.whole.wo.indels.fasta.chr-1	2302091	2302741
124-2.whole.wo.indels.fasta.chr-1	2347787	2349303
124-2.whole.wo.indels.fasta.chr-1	2352971	2357274
124-2.whole.wo.indels.fasta.chr-1	2360320	2361042
124-2.whole.wo.indels.fasta.chr-1	3996122	4006157
124-2.whole.wo.indels.fasta.chr-1	4007908	4009064
124-2.whole.wo.indels.fasta.chr-1	4011298	4021208
124-2.whole.wo.indels.fasta.chr-1	4023392	4038101
124-2.whole.wo.indels.fasta.chr-1	4042190	4055657
124-2.whole.wo.indels.fasta.chr-1	4181864	4182354
124-2.whole.wo.indels.fasta.chr-1	4192390	4192688
124-2.whole.wo.indels.fasta.chr-1	4210862	4213456
124-2.whole.wo.indels.fasta.chr-1	5256046	5256189
124-2.whole.wo.indels.fasta.chr-1	5275173	5276342
124-2.whole.wo.indels.fasta.chr-1	5300598	5305677
124-2.whole.wo.indels.fasta.chr-1	5332871	5333976
124-2.whole.wo.indels.fasta.chr-1	5335331	5337948
124-2.whole.wo.indels.fasta.chr-1	5344668	5349191
124-2.whole.wo.indels.fasta.chr-1	5760117	5760241
124-2.whole.wo.indels.fasta.chr-1	6681632	6681733
124-2.whole.wo.indels.fasta.chr-1	6842363	6842609
124-2.whole.wo.indels.fasta.chr-1	6847949	6847967
124-2.whole.wo.indels.fasta.chr-1	6856588	6856885
124-2.whole.wo.indels.fasta.chr-1	6865887	6867502
124-2.whole.wo.indels.fasta.chr-1	6869744	6869772
124-2.whole.wo.indels.fasta.chr-1	6895319	6897821
124-2.whole.wo.indels.fasta.chr-1	6900586	6900899
131-4.whole.wo.indels.fasta.chr-1	153524	153726
131-4.whole.wo.indels.fasta.chr-1	171056	171081
131-4.whole.wo.indels.fasta.chr-1	804374	806604
131-4.whole.wo.indels.fasta.chr-1	808187	823115
131-4.whole.wo.indels.fasta.chr-1	857875	858767
131-4.whole.wo.indels.fasta.chr-1	918231	918258
131-4.whole.wo.indels.fasta.chr-1	921215	921487
131-4.whole.wo.indels.fasta.chr-1	1772839	1773868
131-4.whole.wo.indels.fasta.chr-1	2964294	2965529
131-4.whole.wo.indels.fasta.chr-1	4551326	4562228
131-4.whole.wo.indels.fasta.chr-1	4584546	4587325
131-4.whole.wo.indels.fasta.chr-1	4636619	4639807
131-4.whole.wo.indels.fasta.chr-1	4641272	4641733
